[1] 年齢を重ねても健康な体はたった1日で
[2] 作られるものではありません毎日の食事の
[3] 中にある小さな選択が少しずつ積み重なっ
[4] て作られていくものです一見するとどこに
[5] でもある普通の食べ物に見えても実は体の
[6] 中で静かに働き腸や血管
[7] 骨や関節を守りながら何年先もの健康を
[8] 支える土台になってくれるものがあります
[9] そこで今日は元気で生き生きとし
[10] た老後を送るために健康の土台作りに
[11] 役立つとされる5つの食べ物皆様と一緒に
[12] 見ていきたいと思います特に第2位は黒豆
[13] です昔から親しまれている身近な食材です
[14] が実はまだ多くの方が知らないたくさんの
[15] 価値を秘めていますそして第1位は毎日の
[16] 食卓にもよく並ぶとても素朴な食べ物です
[17] しかしその中には年齢を重ねた体を支える
[18] ために大切な栄養がしっかりと含まれてい
[19] ますぜひ最後までご一緒にご覧
[20] くださいね第5位から始めていきましょう
[21] これはとても小さな食材ですが昔から体を
[22] 内側から労るものとして多くの方に親しま
[23] れてきましたそれは生姜です生姜と聞く
[24] と食べた後に体の中からじんわり
[25] 温まる感覚を思い浮かべる方も多いのでは
[26] ないでしょうかしかし生姜の価値はただ体
[27] を温めることだけではありません生姜には
[28] ジンゲロールやショウガオールと呼ばれる
[29] 天然の成分が含まれていますこれらは生姜
[30] ならではの香りや優しい辛みを生み出す
[31] 成分であり健康を支える働きの面でも注目
[32] されています年齢を重ねるにつれて以前
[33] より体が冷えやすくなったり手足が温まり
[34] にくくなったり昔ほど元気が続かないと
[35] 感じる方も少なくありませんその理由の1
[36] つには加齢によって体の代謝や血液の巡り
[37] が少しずつ変化していくことがあります体
[38] の温かさを保つ助けとなる食べ物を
[39] 取り入れながら軽い運動やバランスの良い
[40] 食生活を続けることは年を重ねても安定し
[41] た健康の土台作りにつながります栄養に
[42] 関する研究でも生姜は生理活性を持つ植物
[43] 由来成分を多く含む食材の1つとして知ら
[44] れており抗酸化を支える働きや体の正常な
[45] 機能を維持する面で注目されていますその
[46] ため毎日の食事の中で生姜を上手に
[47] 取り入れることは小さくても続ける価値の
[48] ある習慣と言えますただし生姜はたくさん
[49] 食べれば良いというものではありません
[50] 毎日ほんの少量で十分です温かいお茶に数
[51] 枚入れたりスープ煮物魚料理の臭み取りと
[52] して使ったりするのもお勧めです特に朝の
[53] 時間帯や寒さを感じる日には料理に少し
[54] 生姜を加えるだけでも体が心地よく感じ
[55] られることがあります
[56] 胃が敏感な方は空腹時に生の生姜を多く
[57] 食べすぎないよう注意してください何より
[58] 大切なのは無理なく自分の体にあった形で
[59] 続けることです生姜は決して珍しい食材で
[60] はありませんしかしこうした身近なもの
[61] こそ毎日の中で静かに健康を支えてくれる
[62] ことがあります体をより温かく保つこと
[63] そして巡りを大切にすることそれもまた
[64] 年齢を重ねても健康で生き生きと過ごす
[65] ための土台を作る小さな一歩になるのです
[66] 第4位に進みましょうこれはとても身近な
[67] 食材で多くの方が食卓の脇役のように考え
[68] ているかもしれませんしかし実は皆様が
[69] 思っている以上に大きな価値を持っている
[70] 食べ物ですそれはじゃがいもです
[71] じゃがいもと聞くと多くの方はまず炭水
[72] 化物を思い浮かべますそのためじゃがいも
[73] を食べると太りやすいのではないか健康に
[74] はあまり向いていないのではないかと心配
[75] される高齢の方も少なくありませんしかし
[76] 正しい食べ方をすればじゃがいもは年齢を
[77] 重ねた体にとってとても大切なエネルギー
[78] 源になってくれる食材です
[79] じゃがいもには体を動かすための
[80] エネルギーとなる炭水化物の他カリウム
[81] ビタミンCビタミンB6そして食物繊維が
[82] 含まれていますこれらの栄養素は
[83] 体の正常な働きを維持し神経や筋肉を支え
[84] 毎日の食事をよりバランスの良いものに
[85] する助けとなります年齢を重ねた時に
[86] 起こりやすい問題は食べ過ぎだけではあり
[87] ませんむしろ十分に食べられなく
[88] なることもとても大きな問題です食欲
[89] が落ちたり消化の調子が以前と
[90] 変わったり料理をするのが面倒になったり
[91] して食事がだんだん簡単なもの
[92] だけになる方もいますそれが長く続くと体
[93] に必要なエネルギーが不足し疲れやすく
[94] なったり毎日の活動を続ける力が足りなく
[95] なったりすることがあります以前80歳を
[96] 過ぎたある男性とお会いしたことがあり
[97] ます1人暮らしを始めてから昼食はお茶と
[98] 少しのお菓子だけで簡単に済ませることが
[99] 増えていたそうですその後ご家族が野菜と
[100] 一緒に煮込んだじゃがいも料理や肉や魚と
[101] 合わせたじゃがいものおかずを用意する
[102] ようになりました決して特別な料理では
[103] ありませんしかし食事の内容が少しずつ
[104] 整い毎日きちんと食べる習慣を続ける
[105] きっかけになったそうです大切なのは調理
[106] 方法ですじゃがいもは蒸かす茹でるスープ
[107] に入れる野菜と一緒に煮込むといった食べ
[108] 方がお勧めです油をたくさん使った
[109] フライドポテトのような調理法は体への
[110] 負担が増えることもあるため控えめにした
[111] 方が良いでしょう
[112] また芽が出ているものや皮が緑色になった
[113] じゃがいもは食べないようにしてください
[114] 週に数回適量を取り入れながらタンパク質
[115] や野菜と組み合わせることでよりバランス
[116] の良い食事になりますじゃがいもは決して
[117] 珍しい食べ物ではありませんしかし健康な
[118] 老後に必要なのは特別な栄養だけではあり
[119] ません毎日を支える安定したエネルギーも
[120] 大切ですだからこそ食卓に並ぶ1
[121] つの素朴なじゃがいもが体の健康を保つ
[122] 土台となり年齢を重ねても続く
[123] 体力しなやかさそして元気を支える力に
[124] なってくれるのです第3位に進みましょう
[125] これは柔らかく食べやすく毎日の習慣とし
[126] ても続けやすい食べ物ですそれは無糖
[127] ヨーグルトです健康な老後を迎えるために
[128] はただ栄養をしっかり取るだけでは十分で
[129] はありませんそれ以上に大切なのはその
[130] 栄養を体がきちんと吸収できることです
[131] そして栄養吸収の土台になるのが健康な腸
[132] です無糖ヨーグルトには善玉菌
[133] タンパク質カルシウムそして消化を支える
[134] 様々な栄養素が含まれています腸内環境の
[135] バランスが整うことで食べ物の消化がより
[136] スムーズになり栄養を吸収する力も安定し
[137] やすくなります高齢の方にとってこれは
[138] とても大切なことですなぜなら年齢を
[139] 重ねると食べる量が少なくなったりお腹が
[140] 張りやすくなったり食事の内容はそれほど
[141] 悪くないのになぜか疲れやすいと感じる方
[142] が増えてくるからです
[143] その原因の1つとして腸の働きが以前ほど
[144] 活発ではなくなることも考えられます無糖
[145] ヨーグルトは決して特別な食べ物ではあり
[146] ませんしかし正しい形で続けることで毎日
[147] の消化の土台を支えてくれる存在になり
[148] ます選ぶ時は砂糖が入っていないもの
[149] シロップを加えていないもの甘いジャムが
[150] 混ざっていないものをお勧めします朝食の
[151] 後に食べたり日中の軽い間食として
[152] 取り入れるのも良いでしょう1回の量は
[153] 小さな器1杯ほどで十分です
[154] より食べやすくしたい場合は少しの新鮮な
[155] 果物すりごままたは数切れのバナナを
[156] 加える方法もありますただし冷蔵庫から
[157] 出してすぐの冷たい状態で食べることは
[158] 特に朝は避けた方が良いでしょう数分置い
[159] て少し冷たさを和らげてから小さな
[160] 一口ずつゆっくり味わって
[161] くださいもし乳製品を食べるとお腹が張り
[162] やすい方はご自身の体にあった種類を選ん
[163] だりまずは量を減らして試してみることも
[164] 大切です無糖ヨーグルトの本当の価値は
[165] 一時的な美味しさだけではありません
[166] 腸を労い栄養の吸収を支え免疫力の維持に
[167] も役立ち健康で穏やかにそして生き生きと
[168] 年齢を重ねるための土台作りを助けて
[169] くれることにあります第2位に進み
[170] ましょうこれは小さな豆ですが昔から健康
[171] や丈夫な体を支える食材として親しまれて
[172] きましたそれは黒豆です昔ながらの食卓の
[173] 中で黒豆はとても素朴な一品として登場し
[174] てきましたしかしその特徴的な黒い色の中
[175] には年齢を重ねた方にとって見逃せない
[176] 栄養が詰まっています黒豆には
[177] アントシアニンポリフェノール植物性
[178] タンパク質食物繊維そして大切なミネラル
[179] が含まれていますその中でも
[180] アントシアニンは黒豆の皮にある黒紫色を
[181] 作り出している天然の色素ですこれは抗
[182] 酸化成分の1つで年齢と共に進む酸化の
[183] 影響から細胞を守る働きが期待されてい
[184] ますさらに黒豆に含まれる植物性タンパク
[185] 質や食物繊維は体の健康を維持を支え腸の
[186] 働きを整え食後の満足感を長く保つことに
[187] も役立ちます70代80代を迎えた時に
[188] 大切なのはただ病気を避けることだけでは
[189] ありません十分な体力を保ち血管を健やか
[190] に維持し消化を整え毎日の生活を気持ち
[191] よく続けられる体を守ることですだから
[192] こそ黒豆のように様々な面から体を支えて
[193] くれる食材は昔から高く評価されてきまし
[194] た栄養に関する研究でも豆類は植物性
[195] タンパク質や食物繊維体に役立つ植物由来
[196] の成分を多く含む食品として注目されてい
[197] ますそしてバランスの良い食生活作りや
[198] 長く健康を支える食習慣にも
[199] 繋がると考えられていますただし黒豆も
[200] 食べ方が大切です調理する前には数時間
[201] ほど水に浸しておき
[202] その後柔らかく煮ることでより食べやすく
[203] なりますご飯と一緒に炊いたり煮物にし
[204] たり食事の小さなおかずとして取り入れる
[205] のも良いでしょう甘く調理する場合は砂糖
[206] を入れすぎないようにしてください
[207] せっかくの健康的な習慣の価値が下がって
[208] しまうことがあるからです週に2回から3
[209] 回ほど1回ごとに適量を楽しむくらいが
[210] ちょうど良いでしょう黒豆の素晴らしさは
[211] 1つの特別な栄養素だけにあるわけでは
[212] ありません抗酸化成分タンパク質食物繊維
[213] ミネラルこれらがバランスよく
[214] 含まれていることになりますその調和こそ
[215] が黒豆を体の内側から静かに支える食材に
[216] しているのですそしてしっかりとした健康
[217] の土台を作り年齢を重ねても続くしなやか
[218] さと活力を守る力になってくれるのです
[219] そして最後に今日のお話の中で是非皆様に
[220] 覚えていただきたい食べ物です小さく
[221] とても身近な食材ですが年齢を重ねた体を
[222] 支えるために大切な栄養がたくさん詰まっ
[223] ています
[224] それはイワシです年齢を重ねてから健康を
[225] 守ろうと考えると多くの方は珍しい食材や
[226] 高価なものを探しがちですしかし実は体が
[227] 本当に必要としているものは昔から食卓に
[228] 並んできた身近な食べ物の中にあることも
[229] 少なくありませんイワシには良質な
[230] タンパク質DHAEPAビタミンD
[231] カルシウムそして大切なミネラルが含まれ
[232] ていますこれらの栄養は年齢を重ねる上で
[233] 大切な要素と深く関わっていますそれが
